File Path,Current Responsibility,Core Function,LOC,Dependencies,Delete?,Consolidation Target
src/lib/ai/goalDetection.ts,Detect user goals,Financial Decision,5782,conversationHistory,Y,financialDecisionEngine
src/lib/ai/goalManager.ts,Manage user goals,Financial Decision,5728,conversationHistory,Y,financialDecisionEngine
src/lib/ai/improvedDataExtraction.ts,Improved data extraction,Data Extraction,8436,conversationHistory,N,dataExtractionEngine
src/lib/ai/initialGreetingEngine.ts,Initial greeting generation,Response Template,16996,conversationHistory,N,responseTemplateEngine
src/lib/ai/intelligentResponseEngine.ts,Intelligent response generation,Response Template,14415,conversationHistory,N,responseTemplateEngine
src/lib/ai/intentClassifier.ts,Classify user intent,Financial Decision,7451,conversationHistory,N,financialDecisionEngine
src/lib/ai/learningProgress.ts,Track learning progress,Monitoring,656,conversationHistory,Y,monitoringEngine
src/lib/ai/learningRecommendations.ts,Learning recommendations,Context Injection,573,conversationHistory,Y,contextInjectionEngine
src/lib/ai/learningStreaks.ts,Learning streak tracking,Monitoring,908,conversationHistory,Y,monitoringEngine
src/lib/ai/mastery.ts,Mastery tracking,Monitoring,309,conversationHistory,Y,monitoringEngine
src/lib/ai/memoryActivation.ts,Activate user memory,Context Injection,5735,conversationHistory,N,contextInjectionEngine
src/lib/ai/memorySanitizer.ts,Sanitize memory,Data Extraction,1532,conversationHistory,Y,dataExtractionEngine
src/lib/ai/metricCardPrompt.ts,Metric card generation,Response Template,7849,conversationHistory,N,responseTemplateEngine
src/lib/ai/modelRouting.ts,Route to appropriate model,Multi-Provider Routing,953,conversationHistory,Y,multiProviderRoutingEngine
src/lib/ai/multiGoalCoordinator.ts,Coordinate multiple goals,Financial Decision,6746,conversationHistory,Y,financialDecisionEngine
src/lib/ai/multiGoalPrompt.ts,Multi-goal prompt context,Context Injection,3863,conversationHistory,Y,contextInjectionEngine
src/lib/ai/multiLanguage.ts,Multi-language support,Communication Style,3075,conversationHistory,N,communicationStyleEngine
src/lib/ai/needsDetectionEngine.ts,Detect user financial needs,Financial Decision,10945,conversationHistory,N,financialDecisionEngine
src/lib/ai/nudges.ts,Nudge utilities,Monitoring,468,conversationHistory,Y,monitoringEngine
src/lib/ai/objectionHandlingEngine.ts,Handle user objections,Response Template,13588,conversationHistory,N,responseTemplateEngine
src/lib/ai/orchestrator.ts,Orchestrator utilities,Financial Decision,884,conversationHistory,Y,financialDecisionEngine
src/lib/ai/personalization.ts,Personalization utilities,Communication Style,927,conversationHistory,Y,communicationStyleEngine
src/lib/ai/personalizationEngine.ts,Personalization engine,Communication Style,10048,conversationHistory,N,communicationStyleEngine
src/lib/ai/personalizationProfileEngine.ts,Personalization profile,Communication Style,6682,conversationHistory,N,communicationStyleEngine
src/lib/ai/phase4-integration.ts,Phase 4 integration,Context Injection,20556,conversationHistory,N,contextInjectionEngine
src/lib/ai/plainLanguage.ts,Plain language utilities,Communication Style,423,conversationHistory,Y,communicationStyleEngine
src/lib/ai/playbooks.ts,Playbook responses,Response Template,1998,conversationHistory,Y,responseTemplateEngine
src/lib/ai/predictiveModelingEngine.ts,Predictive modeling,Monitoring,3518,conversationHistory,Y,monitoringEngine
src/lib/ai/predictiveRecommendationEngine.ts,Predictive recommendations,Context Injection,7754,conversationHistory,N,contextInjectionEngine
src/lib/ai/proactiveAlertsEngine.ts,Proactive alerts,Crisis Detection,9371,conversationHistory,Y,crisisDetectionEngine
src/lib/ai/proactiveOpportunityDetector.ts,Detect opportunities,Financial Decision,4732,conversationHistory,Y,financialDecisionEngine
src/lib/ai/proactiveRecommendationsEngine.ts,Proactive recommendations,Context Injection,9481,conversationHistory,N,contextInjectionEngine
src/lib/ai/promptTrim.ts,Trim prompt size,Context Injection,323,conversationHistory,Y,contextInjectionEngine
src/lib/ai/quality.ts,Quality utilities,Monitoring,2868,conversationHistory,Y,monitoringEngine
src/lib/ai/questionSequencingEngine.ts,Sequence questions,Question Sequencing,11853,conversationHistory,N,questionSequencingEngine
src/lib/ai/replay.ts,Replay utilities,Monitoring,2030,conversationHistory,Y,monitoringEngine
src/lib/ai/responseEnhancementEngine.ts,Enhance responses,Response Template,7053,conversationHistory,N,responseTemplateEngine
src/lib/ai/responsePostprocessor.ts,Post-process responses,Response Template,1087,conversationHistory,Y,responseTemplateEngine
src/lib/ai/scenarioSimulator.ts,Scenario simulation,Monitoring,494,conversationHistory,Y,monitoringEngine
src/lib/ai/slangMapper.ts,Map slang to standard terms,Communication Style,2145,conversationHistory,N,communicationStyleEngine
src/lib/ai/spacedRepetition.ts,Spaced repetition,Monitoring,458,conversationHistory,Y,monitoringEngine
src/lib/ai/strategyContextBuilder.ts,Build strategy context,Context Injection,3080,conversationHistory,Y,contextInjectionEngine
src/lib/ai/streaks.ts,Streak tracking,Monitoring,1335,conversationHistory,Y,monitoringEngine
src/lib/ai/systemIntelligenceEngine.ts,System intelligence,Context Injection,3285,conversationHistory,Y,contextInjectionEngine
src/lib/ai/systemPromptBuilder.ts,Build system prompt,Context Injection,5600,conversationHistory,Y,contextInjectionEngine
src/lib/ai/tonePersonalityEngine.ts,Tone and personality,Communication Style,10378,conversationHistory,N,communicationStyleEngine
src/lib/ai/topicDetection.ts,Detect conversation topic,Financial Decision,1272,conversationHistory,Y,financialDecisionEngine
src/lib/ai/trace.ts,Trace utilities,Monitoring,619,conversationHistory,Y,monitoringEngine
src/lib/ai/userMemorySystem.ts,User memory system,Context Injection,5781,conversationHistory,N,contextInjectionEngine
src/lib/ai/visualExplainer.ts,Visual explanation utilities,Response Template,329,conversationHistory,Y,responseTemplateEngine
